feature,importance
tsp_median,3897
effective_lane_median,2611
tsp_bid_count,2565
odi_x_capacity,2188
rfq_bid_count,1835
lane_per_km,1514
tsp_lane_diversity,1506
city_lane_count,1342
dist_x_capacity,1083
log_dist_x_log_cap,1014
tier_combo_enc,890
capacity_mt,819
lane_median,818
sdpi_x_dist,716
approx_dist_km,706
lane_count,670
body_ft,633
dest_sdpi,486
dest_odi,479
is_twoway,476
destination_state_enc,445
seasonal_factor,443
orig_vif,328
dest_tier,281
origin_state_enc,277
is_oneway,233
is_city_level_dist,227
is_same_city,226
orig_state_out_rank,221
log_capacity,196
dist_bucket,184
log_dist,176
lane_data_density,164
n_pallets,162
orig_odi,152
orig_total_ewb,135
dest_iac,109
has_city_lane,101
opi_x_capacity,99
is_refer,98
orig_tier,80
orig_sdpi,76
is_mxl,70
is_hq,68
is_sxl,66
tsp_is_large,44
orig_iac,40
is_container,30
orig_out_ewb,28
dest_odi_x_iac,21
is_flatbed,14
is_interstate,7
orig_opi,0
orig_net_flow_pct,0
dest_opi,0
month_cos,0
month_sin,0
